id,name,age,salary,joining_date,is_active,city,rating,experience_years,email,phone,status
0.0,Unknown,56,NaN,2024-08-08 00:00:00,False,Bangalore,4.8,10,user0@example.com,1670094950,unknown
1.0,Ravi,36,unknown,2018-05-23 00:00:00,True,?,1.2,3,user1@example.com,9678344341,unknown
2.0,Unknown,19,113859.84,2024-07-17 00:00:00,True,Bangalore,10,5,user2@example.com,6075899583,Inactive
3.0,Amit,38,100272.6,2024-04-08 00:00:00,Yes,Pune,3.1,11,user3@example.com,2250819632,Inactive
4.0,,44,99540.88,2025-04-11 00:00:00,True,Delhi,1.2,15,user4@example.com,,unknown
5.0,Ravi,32,79289.1,2022-06-27 00:00:00,No,?,3.5,five,user5@example.com,12345,Inactive
6.0,Sara,61,86850.48,2022-11-19 00:00:00,True,Mumbai,2.9,4,user6@example.com,12345,unknown
7.0,Neha,68,108439.98,2022-11-28 00:00:00,True,Delhi,10,6,user7@example.com,12345,Inactive
8.0,Ravi,35,unknown,2021-09-01 00:00:00,,Delhi,4.8,13,user8@example.com,6950318585,Pending
9.0,Neha,26,22075.61,2023-01-24 00:00:00,,Delhi,3.7,14,user9@example.com,2111451555,Inactive
10.0,Akshay,67,106127.9,2023-06-01 00:00:00,,?,bad,5,user10@example.com,7643070057,unknown
11.0,Sara,21,44031.08,2016-12-03 00:00:00,True,?,4.4,,invalid@,12345,unknown
12.0,Amit,,78468.04,2015-07-21 00:00:00,True,Pune,bad,3,,8418576734,
13.0,,65,,2024-02-25 00:00:00,No,Pune,bad,7,user13@example.com,6136707286,Active
14.0,Ravi,57,unknown,2025-05-24 00:00:00,,,10,15,,2165435217,Inactive
15.0,Ravi,64,127735.88,2025-12-07 00:00:00,Yes,Hyderabad,4.9,12,,2272485020,unknown
16.0,,32,41484.7,2025-10-03 00:00:00,,Hyderabad,,6,user16@example.com,4316766039,
17.0,Neha,18,45833.04,2019-02-04 00:00:00,Yes,Bangalore,bad,10,user17@example.com,9907953924,Active
18.0,Akshay,59,66600.54,2020-09-19 00:00:00,,?,,6,user18@example.com,3677045063,unknown
,,29,,2023-02-25 00:00:00,True,Pune,1.4,4,invalid@,2644658402,unknown
20.0,Sara,54,146322.57,2022-05-14 00:00:00,No,Delhi,4.0,,user20@example.com,6308514806,unknown
21.0,Sara,31,84193.43,2016-01-28 00:00:00,No,Mumbai,3.8,9,user21@example.com,9724921918,
,Ravi,49,NaN,2022-08-22 00:00:00,False,?,2.9,3,user22@example.com,5893391332,Pending
23.0,Akshay,40,98574.26,2019-08-06 00:00:00,False,NA,4.0,3,user23@example.com,1330626207,Pending
24.0,Sara,24,,,No,Pune,2.2,five,user24@example.com,,Inactive
25.0,Ravi,39,134460.82,2022-06-22 00:00:00,False,NA,4.2,5,user25@example.com,7611424586,
26.0,Neha,?,62164.85,not available,No,?,1.5,6,,5767636704,
27.0,,18,49631.57,2022-05-04 00:00:00,,Delhi,4.3,8,user27@example.com,9619793766,Active
28.0,Ravi,23,86397.15,2016-10-10 00:00:00,,?,2.9,0,user28@example.com,6234552479,
29.0,,-5,87442.78,2024-01-18 00:00:00,Yes,Pune,2.6,16,user29@example.com,12345,unknown
30.0,Priya,69,52093.89,2025-08-14 00:00:00,True,Mumbai,3.0,five,user30@example.com,1636028516,
31.0,Sara,66,149706.26,2016-11-29 00:00:00,False,,3.4,1,user31@example.com,2028910482,Active
32.0,Priya,19,89021.5,2022-08-09 00:00:00,,Pune,4.9,five,user32@example.com,7007905237,Inactive
33.0,Priya,28,126136.14,2020-12-31 00:00:00,No,,4.3,5,user33@example.com,12345,Inactive
34.0,Sara,33,25300.77,2016-10-21 00:00:00,False,NA,2.3,3,user34@example.com,12345,Pending
35.0,Neha,36,112449.44,2019-03-15 00:00:00,,Mumbai,1.9,6,user35@example.com,12345,Inactive
36.0,Sara,69,142268.02,2020-05-13 00:00:00,True,Bangalore,2.5,,user36@example.com,8892904807,unknown
37.0,Akshay,18,107839.72,2021-11-25 00:00:00,,NA,1.8,9,user37@example.com,9513348207,
38.0,Priya,69,88854.58,2020-08-11 00:00:00,Yes,Mumbai,5.0,11,user38@example.com,4867266084,Active
39.0,Neha,49,102303.19,2020-08-18 00:00:00,Yes,Hyderabad,2.1,18,user39@example.com,8168249959,
40.0,Unknown,37,95489.26,2023-09-19 00:00:00,True,NA,1.4,2,user40@example.com,1021739356,Active
41.0,Neha,35,40905.05,2015-12-04 00:00:00,True,Mumbai,2.9,2,user41@example.com,1755593187,Pending
42.0,Unknown,50,22349.8,2016-02-02 00:00:00,Yes,?,2.3,19,user42@example.com,6434002806,unknown
43.0,Sara,39,51718.65,2020-09-16 00:00:00,False,Delhi,10,5,user43@example.com,3090541618,Inactive
44.0,Priya,25,102048.02,2015-08-14 00:00:00,False,Hyderabad,2.4,-1,,N/A,
45.0,,50,94997.51,2017-08-17 00:00:00,,?,4.5,15,,1187276799,Inactive
